h,k,l,|G|,2theta,d,I
-5,4,-3,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
-5,4,-2,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
-5,4,-1,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
-5,4,0,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
-5,4,1,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
-5,4,2,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
-5,4,3,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
-5,4,4,7.412032624270571,130.64918634355945,0.11436818366743921,0.0
-5,4,5,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
-5,5,-4,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
-5,5,-3,7.540947203955154,135.18372448287252,0.1104912960854921,0.0016950176366260525
-5,5,-2,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
-5,5,-1,7.011080964764849,118.52821630143552,0.12782326409890263,0.0015212378410229116
-5,5,0,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
-5,5,1,7.011080964764849,118.52821630143552,0.12782326409890263,0.0015212378410229116
-5,5,2,7.214342794660484,124.36817718754419,0.1207219716489636,0.0
-5,5,3,7.540947203955154,135.18372448287252,0.1104912960854921,0.001695017636626052
-5,5,4,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
-5,6,-2,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
-5,6,-1,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
-5,6,0,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
-5,6,1,7.730289153532403,142.77705141987894,0.10514494304909733,0.0
-5,6,2,7.915103035438159,152.0314116413408,0.10029209952375437,0.0
-4,-7,-2,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
-4,-7,-1,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
-4,-7,0,7.915103035438158,152.03141164134075,0.10029209952375438,0.0
-4,-7,1,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
-4,-7,2,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
-4,-6,-4,8.095698964634494,165.95891167286584,0.09586744807417698,0.0556883293962261
-4,-6,-3,7.667694688915752,140.1134146185857,0.10686863064006613,0.0
-4,-6,-2,7.346727099086873,128.49551707216034,0.1164104726615006,0.0018068665579559853
-4,-6,-1,7.147231170465649,122.38028624968604,0.12299974469894404,0.0
-4,-6,0,7.07948337446186,120.4352208898477,0.12536512440469297,0.019376968230934842
-4,-6,1,7.147231170465649,122.38028624968604,0.12299974469894404,0.0
-4,-6,2,7.346727099086873,128.49551707216034,0.1164104726615006,0.0018068665579559853
-4,-6,3,7.667694688915752,140.1134146185857,0.10686863064006613,0.0
-4,-6,4,8.095698964634494,165.95891167286584,0.09586744807417698,0.0556883293962261
-4,-5,-5,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
-4,-5,-4,7.412032624270571,130.64918634355945,0.11436818366743921,0.0
-4,-5,-3,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
-4,-5,-2,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
-4,-5,-1,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
-4,-5,0,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
-4,-5,1,6.362452302480786,102.52350150658569,0.15521396354866748,0.0
-4,-5,2,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
-4,-5,3,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
-4,-5,4,7.412032624270571,130.64918634355945,0.11436818366743921,0.0
-4,-5,5,7.975756052964273,155.8079832888551,0.09877252225824296,0.0
-4,-4,-6,8.095698964634494,165.95891167286584,0.09586744807417698,0.0556883293962261
-4,-4,-5,7.412032624270571,130.64918634355945,0.11436818366743921,0.0
-4,-4,-4,6.801747615878316,112.99646559692042,0.13581221810508404,0.0017254552613175777
-4,-4,-3,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
-4,-4,-2,5.890486225480862,92.46480862733866,0.1810829574734454,0.02173708586579409
-4,-4,-1,5.63971119014069,87.48325354470103,0.1975450445164859,0.0
-4,-4,0,5.553603672697957,85.82036157982836,0.20371832715762608,0.002109046784340859
-4,-4,1,5.63971119014069,87.48325354470103,0.1975450445164859,0.0
-4,-4,2,5.890486225480862,92.46480862733866,0.1810829574734454,0.02173708586579409
-4,-4,3,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
-4,-4,4,6.801747615878316,112.99646559692042,0.13581221810508404,0.0017254552613175777
-4,-4,5,7.412032624270571,130.64918634355945,0.11436818366743921,0.0
-4,-4,6,8.095698964634494,165.95891167286584,0.09586744807417698,0.0556883293962261
-4,-3,-6,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
-4,-3,-5,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
-4,-3,-4,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
-4,-3,-3,5.724523636337962,89.1440261704032,0.19173489614835396,0.0
-4,-3,-2,5.286873186395016,80.80465908569168,0.22479263686358741,0.0
-4,-3,-1,5.005950701379404,75.716611308165,0.25073024880938594,0.0
-4,-3,0,4.908738521234051,73.99683557519315,0.2607594587617614,0.0
-4,-3,1,5.005950701379404,75.716611308165,0.25073024880938594,0.0
-4,-3,2,5.286873186395016,80.80465908569168,0.22479263686358741,0.0
-4,-3,3,5.724523636337962,89.1440261704032,0.19173489614835396,0.0
-4,-3,4,6.286252520106807,100.82836990078256,0.15899966997668377,0.0
-4,-3,5,6.942004590872446,116.65512187701268,0.1303797293808807,0.0
-4,-3,6,7.667694688915752,140.1134146185857,0.10686863064006615,0.0
-4,-2,-7,8.15500890746159,177.56137103207942,0.09447806476875413,0.0
-4,-2,-6,7.3467270990868725,128.4955170721603,0.11641047266150062,0.0018068665579559853
-4,-2,-5,6.58576381035068,107.68340958610946,0.14486636597875632,0.0
-4,-2,-4,5.890486225480862,92.46480862733866,0.1810829574734454,0.02173708586579409
